'mo'ren'fen'mao 默认粉毛
'yun'dong'shao'nian 运动少年
'bu'ji 不羁
'quan'min'ou'xiang 全民偶像
'juan'ya'gong'zi 眷雅公子
'lin'jia'ge'ge 邻家哥哥
'xue'lang 雪狼
'wan'mei'xue'zhang 完美学长
'shen'mi'lai'ke 神秘来客
'qi'huan'shi'zhe 奇幻使者
'ke'xue'jia 科学家
'ka'fei'dian'zhu 咖啡店主
'yin'yi'xia 银翼侠
'qian'yong 浅慵
'jin'can 金灿
'jiu'hong 酒红
'fen'bai'juan'fa 粉白卷发
'jin'mi'juan'fa 金米卷发
'hei'lan'juan'fa 黑蓝卷发
'bing'xue'zhan'shi 冰雪战士
'meng'xi'zheng'tai 萌系正太
'qiu'feng 秋枫
'wei'duo'li'ya 维多利亚
'gui'fu'ren 贵妇人
'qiao'ma'wei 俏马尾
'wei'zi 魏紫
'zhao'fen 赵粉
'wu'you 无忧
'xiang'yang'hua 向阳花
'mi'hua'die 米花蝶
'tong'xin 童心
'qing'cong'sui'yue 青葱岁月
'yun'duan'wu'niang 云端舞娘
'qing'yin'chen 轻音尘
'liu'guang'qu 琉光曲
'bing'jing'you'yu 冰境幽语
'tian'shi'tu 天使兔
'hu'lu'chuan 葫芦串
'hu'lu'ling'dang 葫芦铃铛
'hu'lu'ling'dang'chuan 葫芦铃铛串
'yin'yue'gong'zhu 音乐公主
'huang'yuan'zhu 荒原珠
'zhong'xue'shao'nv 中学少女
'ke'ren 可人
'kuang'ye 狂野
'tian'jing'shi'guang 恬静时光
'hua'lei 花蕾
'xiao'shi'zi 小狮子
'mai'sui 麦穗
'hong'dou'wen 红豆吻
'hong'dou'zhi'wen 红豆之吻
'cheng'yun 橙允
'lu'zhen 鹿珍
'qiao'ya'tou 俏丫头
'wa'wa'lian 娃娃脸
'li'ren 丽人
'yang'liu 杨柳
'fu'gu'ying'lun 复古英伦
'xiao'hu'shi 小护士
'huang'jin'dao 黄金稻
'xi'bu'shao'nv 西部少女
'zhi'shi'dan'gao 芝士蛋糕
'lv'zheng'jia'ren 律政佳人
'man'cheng 满城
'meng'xiang 梦乡
'jiao'rao 娇娆
'yue'yuan 月缘
'xiao'lu 小鹿
'wu'zhi'xing 舞之星
'ge'te'luo'li 哥特萝莉
'zi'die 紫蝶
'shui'mu 水沐
'xiao'long'nv 小龙女
'ting'lan 汀兰
'qian'feng 千枫
'gui'ji 鬼姬
'xian'mei'hu 纤媚狐
'hu'die 蝴蝶
'que'yin 雀吟
'luo'mi'ou 罗密欧
'ren'jian'si'yue'tian 人间四月天
'gong'xiu 宫秀
'shu'lan 淑兰
'shao'yan 韶颜
'xiao'hong'mao 小红帽
'xun'meng 寻梦
'cong'cong 匆匆
'xi'yu'wu'niang 西域舞娘
'tian'tian 甜甜
'huo'li'bao'bei 活力宝贝
'wen'ya'shi'zhe 温雅侍者
'si'wen'shi'zhe 斯文侍者
'guai'shun'shi'zhe 乖顺侍者
'ye'hua'zhang 夜华章
'xian'you 鲜柚
'ren'de 仁德
'ai'li'si 爱丽丝
'xiao'shui'shou 小水手
'xiao'jia'hua'tou'fa 小钾花头发
'tian'mei'shao'nv 甜美少女
'guo'jiang 果酱
'xuan'wo 漩涡
'xiao'pao'fu 小泡芙
'ye'bo 夜卜
'shao'er'zhu'chi'ren 少儿主持人
'ge'xing'shao'nv 个性少女
'chuan'liu 川流
'chuan'dao 船岛
'xiao'man'de'duan'fa 小满的短发
'xiao'shi 小诗
'die'lian'hua 蝶恋花
'mao'zi'kong 帽子控
'yin'se'guang'hui 银色光辉
'zhi'xin'jie'jie 知心姐姐
'cha'qu 茶曲
'ye'ying 夜影
'li'li'si'xin'niang 莉莉斯新娘
'si'wen'zhu'li 斯文助理
'luo'ke 洛可
'zui'mei'te'gong 最美特工
'yun'mo 云墨
'qi'xia 绮霞
'shi'meng 诗梦
'hua'tian'shao'nv 花田少女
'qing'mu 倾慕
'nuan'xin 暖心
'ling'man 灵幔
'jin'xin 锦心
'wu'mei'niang 武媚娘
'sheng'shen'huang'di 圣神皇帝
'xin'ge'shao'nian 信鸽少年
'ping'guo'pai 苹果派
'zhong'fen'de'wei'ya 中分的薇雅
'pan'fa'de'yi'sha 盘发的伊莎
'sai'ren'hai'yao 塞壬海妖
'qi'qi'yun 琪琪云
'ya'ma'shao'nv 亚麻少女
'mo'gu'tou 蘑菇头
'lan'se'feng'bao 蓝色风暴
'hei'se'feng'bao 黑色风暴
'xuan'cai'feng'bao 炫彩风暴
'zi'se'feng'bao 紫色风暴
'shu'mei'bing 树莓冰
'shuang'ma'wei'chang'fa 双马尾长发
'dong'li'shao'nv 动力少女
'shuang'ma'wei'shao'nv 双马尾少女
'qin'ge 琴歌
'pu'tong'duan'fa 普通短发
'qing'si 情丝
'shen'xian'jie'jie 神仙姐姐
'bai'fu'fu'ren 白府夫人
'juan'fang'zhu'mu 绢纺主母
'luo'ling 落铃
'sen'lin'jing'ling 森林精灵
'ya'jing 雅静
'mao'niang 猫娘
'ming'yuan'shu'nv 名媛淑女
'wan'zi'tou 丸子头
'chu'lian 初恋
'hui'yi 回忆
'xin'dong 心动
'xue'jie'chang'fa 学姐长发
'duan'fa'yu'jie 短发御姐
'jie'jie'chang'fa 姐姐长发
'xin'ge'nv'shen 信鸽女神
'lin'jia'jie'jie 邻家姐姐
'chang'fa'wa'wa 长发娃娃
'xiao'qi 小企
'yun'ai 云霭
'bing'yuan'sheng'hua 冰原圣花
'qi'le 绮乐
'chun'zhen'de'meng 纯真的梦
'zi'you'wu'zhe 自由舞者
'chun'jie'wu'zhe 纯洁舞者
'san'hao'xue'sheng 三好学生
'xiang'zong'shao'nv 香粽少女
'ling'long'qing'xin 玲珑清心
'ji'zhi'shao'nv 机智少女
'hua'xi'yan 花昔颜
'shao'nian'you 少年游
'zhuang'yuan'jiao'hua 庄园娇花
'mo'lan'hua'juan 墨兰画卷
'yan'niang 雁娘
'cai'cha'gu'niang 采茶姑娘
'bei'di'nv'lang 北地女郎
'yue'xia'mei'ren 月下美人
'lian'lian'ren'yu 恋恋人鱼
'dai'yao 黛瑶
'xie'yi 写意
'yuan'yang'nai'cha 鸳鸯奶茶
'guai'dao'lan'bao'shi 怪盗蓝宝石
'ai'lian 爱莲
'lin'ban'nv'sheng 邻班女生
'hei'bai'ma'wei 黑白马尾
'gao'gui'lu'hou 高贵鹿后
'xiao'an'na 小安娜
'rong'yan 容颜
'yu'chan 玉蝉
'jing'ling'chang'fa 精灵长发
'chui'er'tu 垂耳兔
'yi'ren 怡人
'tao'hua'xiao'mei 桃花小妹
'xi'ye 夕夜
'xiao'hu'yao 小狐妖
'pei'en 佩恩
'ta'luo'nv'lang 塔罗女郎
'yang'jiao'shao'nv 羊角少女
'shen'shi'lan'bao'shi 绅士蓝宝石
'hong'jiu'bei 红酒杯
'yuan'ye 原野
'jin'fa'wa'wa 金发娃娃
'sheng'xiu'nv 圣修女
'fei'xu'shao'nv 废墟少女
'you'li 游鲤
'na'ta'sha 娜塔莎
'zi'fa'na'ta'sha 紫发娜塔莎
'cang'mu 苍墓
'shou'hu'shen 守护神
'dan'luo 淡络
'ling'luan'meng 凌乱萌
'rou'man 柔蔓
'qian'si'fu'ying 千丝蝠影
'qiu'chui 秋垂
'bing'yuan'yong'shi 冰原勇士
'hai'yang'yuan'zheng 海洋远征
'xing'yun 星云
'sheng'yan'zhi'ye 盛宴之夜
'sheng'yan'zhi'meng 盛宴之梦
'jiao'yi'zhi'ye 交谊之夜
'du'wu'zhi'ye 独舞之夜
'zhu'jun 竹君
'she'hua'shen'shi 奢华绅士
'nai'cha'dian'zhu 奶茶店主
'rou'qing 柔情
'dan'xin'bai'fa 丹心白发
'mo'ran'shu'xiang 墨染书香
'fen'se'nian'hua 粉色年华
'nong'qing'mei 弄青梅
'teng'luo 藤萝
'tong'xin'ou'yu 童心偶遇
'yi'yi'chang'fa 熠熠长发
'xue'ling 雪灵
'zi'xin'man'man 自信满满
'yue'dong'shao'nv 跃动少女
'ye'se'shao'nv 夜色少女
'hai'tan'shao'nv 海滩少女
'qi'huan'xiao'nv'wu 绮幻小女巫
'cao'mei'xiao'mei 草莓小妹
'gao'gui'qian'jin 高贵千金
'ya'ma'duan'fa 亚麻短发
'xia'ye 夏夜
'jin'bo'zhu'bao 金箔珠宝
'mu'li'hua'bao 木梨花苞
'qing'ya'xiao'juan 清雅小卷
'dou'kou'shi 豆蔻诗
'qing'chun'ou'xiang 青春偶像
'yun'zhong'xian'he 云中仙鹤
'qing'dai'meng'yan 清黛梦魇
'qing'chun'xue'ye 清醇雪夜
'piao'xiang'nai'cha 飘香奶茶
'meng'huan'nv'shen 梦幻女神
